Code;Country; minwage 2017 ; estimated net from minwage ; net w/o benefits ; poverty threshold yearly ; median net income yearly ; minwage 2017 monthly ; est net from minwage monthly ; poverty threshold monthly ; median net income monthly ; dist poverty net ; dist poverty w/o benefits ;diff poverty net
BEL;Belgium;18558,81;16680,00;16681,00;13670,00;22777,00;1546,57;1390,00;1139,17;1898,08;0,22;0,22;250,83
CZE;Czech Republic;5008,66;6152,20;4520,57;4969,00;8282,00;417,39;512,68;414,08;690,17;0,24;-0,09;98,60
EST;Estonia;5637,56;5522,00;5523,00;5631,00;9389,00;469,80;460,17;469,25;782,42;-0,02;-0,02;-9,08
FRA;France;17755,29;15731,00;13920,00;13246,00;22095,00;1479,61;1310,92;1103,83;1841,25;0,19;0,05;207,08
DEU19;Germany 2019;18679,36;13575,00;13574,00;13152,00;21906,00;1556,61;1131,25;1096,00;1825,50;0,03;0,03;35,25
DEU;Germany;17967,96;13326,00;13326,00;13152,00;21906,00;1497,33;1110,50;1096,00;1825,50;0,01;0,01;14,50
GRC;Greece;7959,52;6745,00;6744,00;4560,00;7611,00;663,29;562,08;380,00;634,25;0,48;0,48;182,08
HUN;Hungary;4950,95;3375,11;3375,11;2993,00;4993,00;412,58;281,26;249,42;416,08;0,13;0,13;31,84
IRL;Ireland;19231,39;17808,00;17807,00;13444,00;22407,00;1602,62;1484,00;1120,33;1867,25;0,32;0,32;363,67
LVA;Latvia;4557,96;3431,00;3430,00;3964,00;6607,00;379,83;285,92;330,33;550,58;-0,13;-0,13;-44,42
LTU;Lithuania;4557,96;3829,00;3829,00;3681,00;6135,00;379,83;319,08;306,75;511,25;0,04;0,04;12,33
LUX;Luxembourg;23972,35;22142,00;20337,00;21645,00;36102,00;1997,70;1845,17;1803,75;3008,50;0,02;-0,06;41,42
NLD;Netherlands;20188,96;20701,00;17753,00;14137,00;23563,00;1682,41;1725,08;1178,08;1963,58;0,46;0,26;547,00
POL;Poland;5632,74;4239,97;4239,69;3567,00;5960,00;469,39;353,33;297,25;496,67;0,19;0,19;56,08
PRT;Portugal;9093,55;8109,00;8109,00;5443,00;9071,00;757,80;675,75;453,58;755,92;0,49;0,49;222,17
SVK;Slovakia;5217,66;4502,00;4503,00;4310,00;7183,00;434,81;375,17;359,17;598,58;0,04;0,04;16,00
SVN;Slovenia;9655,20;8203,00;7388,00;7628,00;12713,00;804,60;683,58;635,67;1059,42;0,08;-0,03;47,92
ESP;Spain;11553,83;11006,00;11007,00;8522,00;14207,00;962,82;917,17;710,17;1183,92;0,29;0,29;207,00
GBR;United Kingdom;16680,56;20477,66;16245,02;12682,00;21136,00;1390,05;1706,47;1056,83;1761,33;0,61;0,28;649,64
BGR;Bulgaria;2822,40;2226,64;2226,64;2154,00;3588,00;235,20;185,55;179,50;299,00;0,03;0,03;6,05
HRV;Croatia;5305,08;4296,22;4296,22;3726,00;6210,00;442,09;358,02;310,50;517,50;0,15;0,15;47,52
MLT;Malta;8827,56;9113,00;8313,00;8698,00;14496,00;735,63;759,42;724,83;1208,00;0,05;-0,04;34,58
ROU;Romania;3822,24;2883,93;2883,93;1645,00;2742,00;318,52;240,33;137,08;228,50;0,75;0,75;103,24
